,comment,currency,amount,text_length,text_wordcount,tokenized_comment
0,"Imagine you are Joceline’s parent, you’ll definitely wish Joceline to get treatments, you wish someone can help you, someone can donate to you. Pray for Joceline will get better.",MYR,50000,178.0,29.0,"['imagine', 'you', 'are', 'joceline', 's', 'parent', 'you', 'll', 'definitely', 'wish', 'joceline', 'to', 'get', 'treatments', 'you', 'wish', 'someone', 'can', 'help', 'you', 'someone', 'can', 'donate', 'to', 'you', 'pray', 'for', 'joceline', 'will', 'get', 'better']"
1,"My prayers will always be with you sayang ❤.. stay strong, Get well soon..",SGD,2000,74.0,14.0,"['my', 'prayers', 'will', 'always', 'be', 'with', 'you', 'sayang', 'stay', 'strong', 'get', 'well', 'soon']"
2,"Everyone, please donate any amount that you can. Every bit counts. Thank you!",SGD,5000,77.0,13.0,"['everyone', 'please', 'donate', 'any', 'amount', 'that', 'you', 'can', 'every', 'bit', 'counts', 'thank', 'you']"
3,This breaks my heart seeing a young baby like this as I have a child too and can’t imagine if he’s my own child 🥺 I hope with the small amount makes a different to you and will keep baby Niyaz in my prayers too🥺,SGD,1000,211.0,45.0,"['this', 'breaks', 'my', 'heart', 'seeing', 'a', 'young', 'baby', 'like', 'this', 'as', 'i', 'have', 'a', 'child', 'too', 'and', 'can', 't', 'imagine', 'if', 'he', 's', 'my', 'own', 'child', 'i', 'hope', 'with', 'the', 'small', 'amount', 'makes', 'a', 'different', 'to', 'you', 'and', 'will', 'keep', 'baby', 'niyaz', 'in', 'my', 'prayers', 'too']"
4,My baby is 1 month younger then Niyaz. And I cannot imagine how the family and baby must feel. :( May Allah grant them strength and patience to overcome this test.,SGD,5000,163.0,31.0,"['my', 'baby', 'is', 'month', 'younger', 'then', 'niyaz', 'and', 'i', 'cannot', 'imagine', 'how', 'the', 'family', 'and', 'baby', 'must', 'feel', 'may', 'allah', 'grant', 'them', 'strength', 'and', 'patience', 'to', 'overcome', 'this', 'test']"
5,Because it is the right thing to do.,SGD,50000,36.0,8.0,"['because', 'it', 'is', 'the', 'right', 'thing', 'to', 'do']"
6,I donated because I hope this small amount helps the family financially in the medical needs of the child.,SGD,5000,106.0,19.0,"['i', 'donated', 'because', 'i', 'hope', 'this', 'small', 'amount', 'helps', 'the', 'family', 'financially', 'in', 'the', 'medical', 'needs', 'of', 'the', 'child']"
7,"My prayers will always be with you. Stay strong, Get Well Soon ❤",SGD,2000,64.0,13.0,"['my', 'prayers', 'will', 'always', 'be', 'with', 'you', 'stay', 'strong', 'get', 'well', 'soon']"
8,"There should never be a reason needed, to help others.",SGD,2000,54.0,10.0,"['there', 'should', 'never', 'be', 'a', 'reason', 'needed', 'to', 'help', 'others']"
9,"I just wanna help people to get a better life !!
NAM MO DUOC SU LUU LY QUANG VUONG PHAT !!
Tayata Om Bekandze Bekandze, Maha Bekandze, Radza Samudgate Soha !!!",VND,250000,159.0,29.0,"['i', 'just', 'wanna', 'help', 'people', 'to', 'get', 'a', 'better', 'life', 'nam', 'mo', 'duoc', 'su', 'luu', 'ly', 'quang', 'vuong', 'phat', 'tayata', 'om', 'bekandze', 'bekandze', 'maha', 'bekandze', 'radza', 'samudgate', 'soha']"
10,"Sharing is caring, hope everything will be fine for Myanmar people!",SGD,5000,67.0,11.0,"['sharing', 'is', 'caring', 'hope', 'everything', 'will', 'be', 'fine', 'for', 'myanmar', 'people']"
11,I donated because every child deserves to lead a normal life,SGD,1000,60.0,11.0,"['i', 'donated', 'because', 'every', 'child', 'deserves', 'to', 'lead', 'a', 'normal', 'life']"
12,Doing what I can to help,SGD,10000,24.0,6.0,"['doing', 'what', 'i', 'can', 'to', 'help']"
13,Kids on the spectrum need acceptance and the society at large to embrace them for their uniqueness as individuals. To a kinder and open society where we appreciate differences and learn to understand their daily challenges.,SGD,10000,223.0,36.0,"['kids', 'on', 'the', 'spectrum', 'need', 'acceptance', 'and', 'the', 'society', 'at', 'large', 'to', 'embrace', 'them', 'for', 'their', 'uniqueness', 'as', 'individuals', 'to', 'a', 'kinder', 'and', 'open', 'society', 'where', 'we', 'appreciate', 'differences', 'and', 'learn', 'to', 'understand', 'their', 'daily', 'challenges']"
14,I hope that this small amount of money will help and spread kindness. Keep fighting okay! ❤,SGD,200,91.0,17.0,"['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']"
15,I hope that this small amount of money will help and spread kindness. Keep fighting okay! ❤,SGD,350,91.0,17.0,"['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']"
16,Because I have children too.,SGD,50000,28.0,5.0,"['because', 'i', 'have', 'children', 'too']"
17,I donated because I wanted to help this poor child of 10 months old suffering from liver disease and have about 6 months to live if there is no donor available. He was born as a normal child and has not even seen or chance to see the world.,SGD,10000,240.0,49.0,"['i', 'donated', 'because', 'i', 'wanted', 'to', 'help', 'this', 'poor', 'child', 'of', 'months', 'old', 'suffering', 'from', 'liver', 'disease', 'and', 'have', 'about', 'months', 'to', 'live', 'if', 'there', 'is', 'no', 'donor', 'available', 'he', 'was', 'born', 'as', 'a', 'normal', 'child', 'and', 'has', 'not', 'even', 'seen', 'or', 'chance', 'to', 'see', 'the', 'world']"
18,My dad had the same condition,MYR,50000,29.0,6.0,"['my', 'dad', 'had', 'the', 'same', 'condition']"
19,i donated because it might be just a simple act of service from us but to the families and love ones of Mdm ng it meant the entire world to them. A small part of action from me and you will keep the world a better place.,SGD,2000,220.0,47.0,"['i', 'donated', 'because', 'it', 'might', 'be', 'just', 'a', 'simple', 'act', 'of', 'service', 'from', 'us', 'but', 'to', 'the', 'families', 'and', 'love', 'ones', 'of', 'mdm', 'ng', 'it', 'meant', 'the', 'entire', 'world', 'to', 'them', 'a', 'small', 'part', 'of', 'action', 'from', 'me', 'and', 'you', 'will', 'keep', 'the', 'world', 'a', 'better', 'place']"
20,I want to help others to the best I can,SGD,1000,39.0,10.0,"['i', 'want', 'to', 'help', 'others', 'to', 'the', 'best', 'i', 'can']"
21,Just paying forward.,MYR,200000,20.0,3.0,"['just', 'paying', 'forward']"
22,Life is precious. Doing my little bit and hope it helps the family. Be strong to fight on.,SGD,5000,90.0,18.0,"['life', 'is', 'precious', 'doing', 'my', 'little', 'bit', 'and', 'hope', 'it', 'helps', 'the', 'family', 'be', 'strong', 'to', 'fight', 'on']"
24,It is more blessed to give! :),SGD,10000,30.0,7.0,"['it', 'is', 'more', 'blessed', 'to', 'give']"
25,I hope that this small amount of money will help and spread kindness. Keep fighting okay! ❤,SGD,350,91.0,17.0,"['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']"
26,I hope that this small amount of money will help and spread kindness. Keep fighting okay! ❤,MYR,1500,91.0,17.0,"['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']"
27,I donated to baby Niyaz because he deserves a chance to lead a normal life at his fullest potential!,SGD,30000,100.0,19.0,"['i', 'donated', 'to', 'baby', 'niyaz', 'because', 'he', 'deserves', 'a', 'chance', 'to', 'lead', 'a', 'normal', 'life', 'at', 'his', 'fullest', 'potential']"
28,I want to give back to society.,MYR,20000,31.0,7.0,"['i', 'want', 'to', 'give', 'back', 'to', 'society']"
29,"Hope the little girl recover soon, be strong mummy",MYR,5000,50.0,9.0,"['hope', 'the', 'little', 'girl', 'recover', 'soon', 'be', 'strong', 'mummy']"
30,I hope sincerely that baby gets healed and blessed,SGD,2000,50.0,9.0,"['i', 'hope', 'sincerely', 'that', 'baby', 'gets', 'healed', 'and', 'blessed']"
31,"I hope with the amount i give, it will help the family in anyway. My late father passed away recently in may due to his liver problem. Its sad for me to see such a small boy to suffer through the exact same thing. My support to the family.",SGD,150000,239.0,49.0,"['i', 'hope', 'with', 'the', 'amount', 'i', 'give', 'it', 'will', 'help', 'the', 'family', 'in', 'anyway', 'my', 'late', 'father', 'passed', 'away', 'recently', 'in', 'may', 'due', 'to', 'his', 'liver', 'problem', 'its', 'sad', 'for', 'me', 'to', 'see', 'such', 'a', 'small', 'boy', 'to', 'suffer', 'through', 'the', 'exact', 'same', 'thing', 'my', 'support', 'to', 'the', 'family']"
33,We only live once...,SGD,2000,20.0,4.0,"['we', 'only', 'live', 'once']"
34,I believe all human beings deserved a second chance. Babies are a gift from Allah. Hopefully my small amount can help. May Allah protect this child from harm and may Allah also give strength to this family.,SGD,5000,206.0,37.0,"['i', 'believe', 'all', 'human', 'beings', 'deserved', 'a', 'second', 'chance', 'babies', 'are', 'a', 'gift', 'from', 'allah', 'hopefully', 'my', 'small', 'amount', 'can', 'help', 'may', 'allah', 'protect', 'this', 'child', 'from', 'harm', 'and', 'may', 'allah', 'also', 'give', 'strength', 'to', 'this', 'family']"
35,A little help goes a long way. Do help if you can.,SGD,50000,50.0,12.0,"['a', 'little', 'help', 'goes', 'a', 'long', 'way', 'do', 'help', 'if', 'you', 'can']"
36,Just want to give a helping hand.☺️,SGD,1000,35.0,7.0,"['just', 'want', 'to', 'give', 'a', 'helping', 'hand']"
37,I donated because I try to help in whatever means I can,SGD,10000,55.0,12.0,"['i', 'donated', 'because', 'i', 'try', 'to', 'help', 'in', 'whatever', 'means', 'i', 'can']"
38,I want to help this baby in dire need on his health condition,SGD,25000,61.0,13.0,"['i', 'want', 'to', 'help', 'this', 'baby', 'in', 'dire', 'need', 'on', 'his', 'health', 'condition']"
39,Every child is precious,SGD,10000,23.0,4.0,"['every', 'child', 'is', 'precious']"
40,I donated as I know how much it is for the family to face a load of struggles be it mentally physically and emotionally. Ever life is precious especially yound kids. I always believe that giving someone in need makes my heart happy.,SGD,10000,232.0,43.0,"['i', 'donated', 'as', 'i', 'know', 'how', 'much', 'it', 'is', 'for', 'the', 'family', 'to', 'face', 'a', 'load', 'of', 'struggles', 'be', 'it', 'mentally', 'physically', 'and', 'emotionally', 'ever', 'life', 'is', 'precious', 'especially', 'yound', 'kids', 'i', 'always', 'believe', 'that', 'giving', 'someone', 'in', 'need', 'makes', 'my', 'heart', 'happy']"
41,Giving back to the society that will help the needy !!!,SGD,10000,55.0,11.0,"['giving', 'back', 'to', 'the', 'society', 'that', 'will', 'help', 'the', 'needy']"
42,"A lack of generosity refuses to acknowledge that your assets are not really yours, but God's.  ~~ Tim Keller 

Just my bit. Get well soon brother",SGD,10000,145.0,27.0,"['a', 'lack', 'of', 'generosity', 'refuses', 'to', 'acknowledge', 'that', 'your', 'assets', 'are', 'not', 'really', 'yours', 'but', 'god', 's', 'tim', 'keller', 'just', 'my', 'bit', 'get', 'well', 'soon', 'brother']"
43,My prayers for you kiddo.,SGD,10000,25.0,5.0,"['my', 'prayers', 'for', 'you', 'kiddo']"
44,I donated because I want to help in my small way. Thank you for doing what you do. Linda,SGD,5000,88.0,19.0,"['i', 'donated', 'because', 'i', 'want', 'to', 'help', 'in', 'my', 'small', 'way', 'thank', 'you', 'for', 'doing', 'what', 'you', 'do', 'linda']"
47,Hope can help some,MYR,5000,18.0,4.0,"['hope', 'can', 'help', 'some']"
48,May God's mercy be with this family and the kind doctor who proceeded the operation to save this little baby's life.,SGD,5000,116.0,21.0,"['may', 'god', 's', 'mercy', 'be', 'with', 'this', 'family', 'and', 'the', 'kind', 'doctor', 'who', 'proceeded', 'the', 'operation', 'to', 'save', 'this', 'little', 'baby', 's', 'life']"
49,May Allah bless every each one of us with health and hapiness in life.,SGD,10000,70.0,14.0,"['may', 'allah', 'bless', 'every', 'each', 'one', 'of', 'us', 'with', 'health', 'and', 'hapiness', 'in', 'life']"
50,"I would like to bless the children with a small token, hoping this small amount could provide them a little comfort during this period. May they continue to learn and grow in a safe and conducive environment.",SGD,50000,208.0,37.0,"['i', 'would', 'like', 'to', 'bless', 'the', 'children', 'with', 'a', 'small', 'token', 'hoping', 'this', 'small', 'amount', 'could', 'provide', 'them', 'a', 'little', 'comfort', 'during', 'this', 'period', 'may', 'they', 'continue', 'to', 'learn', 'and', 'grow', 'in', 'a', 'safe', 'and', 'conducive', 'environment']"
51,I donated because it hurts me to see little children suffering and not enjoying their childhood.. stay strong and recover well little gal..,MYR,5000,139.0,23.0,"['i', 'donated', 'because', 'it', 'hurts', 'me', 'to', 'see', 'little', 'children', 'suffering', 'and', 'not', 'enjoying', 'their', 'childhood', 'stay', 'strong', 'and', 'recover', 'well', 'little', 'gal']"
52,Hope can help some,MYR,5000,18.0,4.0,"['hope', 'can', 'help', 'some']"
54,I can understand how Mila feel helpless with such accidents. Hope she speedy recovery.,SGD,20000,86.0,14.0,"['i', 'can', 'understand', 'how', 'mila', 'feel', 'helpless', 'with', 'such', 'accidents', 'hope', 'she', 'speedy', 'recovery']"
55,"I donate because i want to give something..hoping it will help her in little ways, although i dont give much but its the thought",SGD,1000,128.0,24.0,"['i', 'donate', 'because', 'i', 'want', 'to', 'give', 'something', 'hoping', 'it', 'will', 'help', 'her', 'in', 'little', 'ways', 'although', 'i', 'dont', 'give', 'much', 'but', 'its', 'the', 'thought']"
56,It’s a worthy cause,SGD,5000,19.0,4.0,"['it', 's', 'a', 'worthy', 'cause']"
58,Be strong! Get well soon,SGD,10000,24.0,5.0,"['be', 'strong', 'get', 'well', 'soon']"
59,"Can’t afford to pay medical bill really feel helpless, try our best to help whoever is needed.",SGD,2000,94.0,17.0,"['can', 't', 'afford', 'to', 'pay', 'medical', 'bill', 'really', 'feel', 'helpless', 'try', 'our', 'best', 'to', 'help', 'whoever', 'is', 'needed']"
60,Everyone has a chance to live and money should be the last thing this family needs to worry about. Let's help them through this!,SGD,10000,128.0,24.0,"['everyone', 'has', 'a', 'chance', 'to', 'live', 'and', 'money', 'should', 'be', 'the', 'last', 'thing', 'this', 'family', 'needs', 'to', 'worry', 'about', 'let', 's', 'help', 'them', 'through', 'this']"
61,I hope she'll get well soon ♡,MYR,1000,29.0,7.0,"['i', 'hope', 'she', 'll', 'get', 'well', 'soon']"
62,Because we never stop helping and to give the parents a chance to not stop fighting.,SGD,5000,84.0,16.0,"['because', 'we', 'never', 'stop', 'helping', 'and', 'to', 'give', 'the', 'parents', 'a', 'chance', 'to', 'not', 'stop', 'fighting']"
63,We should help each other to never give up,SGD,800,42.0,9.0,"['we', 'should', 'help', 'each', 'other', 'to', 'never', 'give', 'up']"
64,Let's give the baby a chance to live and the mother a chance to love her baby.,SGD,10000,78.0,17.0,"['let', 's', 'give', 'the', 'baby', 'a', 'chance', 'to', 'live', 'and', 'the', 'mother', 'a', 'chance', 'to', 'love', 'her', 'baby']"
65,Stay strong baby ❤️,SGD,3000,19.0,4.0,"['stay', 'strong', 'baby']"
