,comment,currency,amount,text_length,text_wordcount,tokenized_comment,token_lem,token_pstem,cleaned_lem,cleaned_pstem,cluster,x0,x1,cluster1,x0_1,x1_1,dbscan_cluster,x0_2,x1_2
34,I believe all human beings deserved a second chance. Babies are a gift from Allah. Hopefully my small amount can help. May Allah protect this child from harm and may Allah also give strength to this family.,SGD,5000,206.0,37.0,"['i', 'believe', 'all', 'human', 'beings', 'deserved', 'a', 'second', 'chance', 'babies', 'are', 'a', 'gift', 'from', 'allah', 'hopefully', 'my', 'small', 'amount', 'can', 'help', 'may', 'allah', 'protect', 'this', 'child', 'from', 'harm', 'and', 'may', 'allah', 'also', 'give', 'strength', 'to', 'this', 'family']","['i', 'believe', 'all', 'human', 'being', 'deserved', 'a', 'second', 'chance', 'baby', 'are', 'a', 'gift', 'from', 'allah', 'hopefully', 'my', 'small', 'amount', 'can', 'help', 'may', 'allah', 'protect', 'this', 'child', 'from', 'harm', 'and', 'may', 'allah', 'also', 'give', 'strength', 'to', 'this', 'family']","['i', 'believ', 'all', 'human', 'be', 'deserv', 'a', 'second', 'chanc', 'babi', 'are', 'a', 'gift', 'from', 'allah', 'hope', 'my', 'small', 'amount', 'can', 'help', 'may', 'allah', 'protect', 'thi', 'child', 'from', 'harm', 'and', 'may', 'allah', 'also', 'give', 'strength', 'to', 'thi', 'famili']",i believe all human being deserved a second chance baby are a gift from allah hopefully my small amount can help may allah protect this child from harm and may allah also give strength to this family,i believ all human be deserv a second chanc babi are a gift from allah hope my small amount can help may allah protect thi child from harm and may allah also give strength to thi famili,0,-0.08935569124309464,-0.04822234501024002,2,-0.41767614030772754,0.5739762054303049,-1,-0.41767614030772754,0.5739762054303049
48,May God's mercy be with this family and the kind doctor who proceeded the operation to save this little baby's life.,SGD,5000,116.0,21.0,"['may', 'god', 's', 'mercy', 'be', 'with', 'this', 'family', 'and', 'the', 'kind', 'doctor', 'who', 'proceeded', 'the', 'operation', 'to', 'save', 'this', 'little', 'baby', 's', 'life']","['may', 'god', 's', 'mercy', 'be', 'with', 'this', 'family', 'and', 'the', 'kind', 'doctor', 'who', 'proceeded', 'the', 'operation', 'to', 'save', 'this', 'little', 'baby', 's', 'life']","['may', 'god', 's', 'merci', 'be', 'with', 'thi', 'famili', 'and', 'the', 'kind', 'doctor', 'who', 'proceed', 'the', 'oper', 'to', 'save', 'thi', 'littl', 'babi', 's', 'life']",may god s mercy be with this family and the kind doctor who proceeded the operation to save this little baby s life,may god s merci be with thi famili and the kind doctor who proceed the oper to save thi littl babi s life,0,-0.0927972340516165,-0.011941044428662945,2,-0.311934417895387,0.6826936166596148,-1,-0.311934417895387,0.6826936166596148
49,May Allah bless every each one of us with health and hapiness in life.,SGD,10000,70.0,14.0,"['may', 'allah', 'bless', 'every', 'each', 'one', 'of', 'us', 'with', 'health', 'and', 'hapiness', 'in', 'life']","['may', 'allah', 'bless', 'every', 'each', 'one', 'of', 'u', 'with', 'health', 'and', 'hapiness', 'in', 'life']","['may', 'allah', 'bless', 'everi', 'each', 'one', 'of', 'us', 'with', 'health', 'and', 'hapi', 'in', 'life']",may allah bless every each one of u with health and hapiness in life,may allah bless everi each one of us with health and hapi in life,0,-0.08619287722289398,-0.03745561559056347,2,-0.26143339391915665,0.20474226009229493,0,-0.26143339391915665,0.20474226009229493
50,"I would like to bless the children with a small token, hoping this small amount could provide them a little comfort during this period. May they continue to learn and grow in a safe and conducive environment.",SGD,50000,208.0,37.0,"['i', 'would', 'like', 'to', 'bless', 'the', 'children', 'with', 'a', 'small', 'token', 'hoping', 'this', 'small', 'amount', 'could', 'provide', 'them', 'a', 'little', 'comfort', 'during', 'this', 'period', 'may', 'they', 'continue', 'to', 'learn', 'and', 'grow', 'in', 'a', 'safe', 'and', 'conducive', 'environment']","['i', 'would', 'like', 'to', 'bless', 'the', 'child', 'with', 'a', 'small', 'token', 'hoping', 'this', 'small', 'amount', 'could', 'provide', 'them', 'a', 'little', 'comfort', 'during', 'this', 'period', 'may', 'they', 'continue', 'to', 'learn', 'and', 'grow', 'in', 'a', 'safe', 'and', 'conducive', 'environment']","['i', 'would', 'like', 'to', 'bless', 'the', 'children', 'with', 'a', 'small', 'token', 'hope', 'thi', 'small', 'amount', 'could', 'provid', 'them', 'a', 'littl', 'comfort', 'dure', 'thi', 'period', 'may', 'they', 'continu', 'to', 'learn', 'and', 'grow', 'in', 'a', 'safe', 'and', 'conduc', 'environ']",i would like to bless the child with a small token hoping this small amount could provide them a little comfort during this period may they continue to learn and grow in a safe and conducive environment,i would like to bless the children with a small token hope thi small amount could provid them a littl comfort dure thi period may they continu to learn and grow in a safe and conduc environ,0,-0.08433065064098831,-0.019513390113451913,2,-0.2995135770537957,0.419584988514175,-1,-0.2995135770537957,0.419584988514175
74,May God make it easy for Baby Niyaz and his parents.,SGD,2000,52.0,11.0,"['may', 'god', 'make', 'it', 'easy', 'for', 'baby', 'niyaz', 'and', 'his', 'parents']","['may', 'god', 'make', 'it', 'easy', 'for', 'baby', 'niyaz', 'and', 'his', 'parent']","['may', 'god', 'make', 'it', 'easi', 'for', 'babi', 'niyaz', 'and', 'hi', 'parent']",may god make it easy for baby niyaz and his parent,may god make it easi for babi niyaz and hi parent,0,-0.06623842816032718,0.02211622111798224,2,-0.20315831148632937,0.4198453194732966,0,-0.20315831148632937,0.4198453194732966
76,"May god shower his blessings to Mani,speedy recovery to you dear.",SGD,5000,65.0,11.0,"['may', 'god', 'shower', 'his', 'blessings', 'to', 'mani', 'speedy', 'recovery', 'to', 'you', 'dear']","['may', 'god', 'shower', 'his', 'blessing', 'to', 'mani', 'speedy', 'recovery', 'to', 'you', 'dear']","['may', 'god', 'shower', 'hi', 'bless', 'to', 'mani', 'speedi', 'recoveri', 'to', 'you', 'dear']",may god shower his blessing to mani speedy recovery to you dear,may god shower hi bless to mani speedi recoveri to you dear,3,-0.1144073208070569,0.5399616616617042,2,-0.4159764466828528,1.6591542460483,0,-0.4159764466828528,1.6591542460483
88,I donated because I want the family to know that there is still hope & do not give up. May Allah S.W.T give you strength to go through this difficult times & may you be rewarded for your patience in HIM.,SGD,100000,203.0,41.0,"['i', 'donated', 'because', 'i', 'want', 'the', 'family', 'to', 'know', 'that', 'there', 'is', 'still', 'hope', 'do', 'not', 'give', 'up', 'may', 'allah', 's', 'w', 't', 'give', 'you', 'strength', 'to', 'go', 'through', 'this', 'difficult', 'times', 'may', 'you', 'be', 'rewarded', 'for', 'your', 'patience', 'in', 'him']","['i', 'donated', 'because', 'i', 'want', 'the', 'family', 'to', 'know', 'that', 'there', 'is', 'still', 'hope', 'do', 'not', 'give', 'up', 'may', 'allah', 's', 'w', 't', 'give', 'you', 'strength', 'to', 'go', 'through', 'this', 'difficult', 'time', 'may', 'you', 'be', 'rewarded', 'for', 'your', 'patience', 'in', 'him']","['i', 'donat', 'becaus', 'i', 'want', 'the', 'famili', 'to', 'know', 'that', 'there', 'is', 'still', 'hope', 'do', 'not', 'give', 'up', 'may', 'allah', 's', 'w', 't', 'give', 'you', 'strength', 'to', 'go', 'through', 'thi', 'difficult', 'time', 'may', 'you', 'be', 'reward', 'for', 'your', 'patienc', 'in', 'him']",i donated because i want the family to know that there is still hope do not give up may allah s w t give you strength to go through this difficult time may you be rewarded for your patience in him,i donat becaus i want the famili to know that there is still hope do not give up may allah s w t give you strength to go through thi difficult time may you be reward for your patienc in him,0,-0.10834484316285595,-0.08511865024164897,2,-0.3986209466450372,0.5263530901381237,-1,-0.3986209466450372,0.5263530901381237
90,every bit helps. hoping the money i've donated and others have donated will greatly benefit Manidhar :) God bless!,SGD,500,114.0,19.0,"['every', 'bit', 'helps', 'hoping', 'the', 'money', 'i', 've', 'donated', 'and', 'others', 'have', 'donated', 'will', 'greatly', 'benefit', 'manidhar', 'god', 'bless']","['every', 'bit', 'help', 'hoping', 'the', 'money', 'i', 've', 'donated', 'and', 'others', 'have', 'donated', 'will', 'greatly', 'benefit', 'manidhar', 'god', 'bless']","['everi', 'bit', 'help', 'hope', 'the', 'money', 'i', 've', 'donat', 'and', 'other', 'have', 'donat', 'will', 'greatli', 'benefit', 'manidhar', 'god', 'bless']",every bit help hoping the money i ve donated and others have donated will greatly benefit manidhar god bless,everi bit help hope the money i ve donat and other have donat will greatli benefit manidhar god bless,0,-0.057377743975894936,0.015771636353404693,2,-0.21162502765489313,0.668039768742532,0,-0.21162502765489313,0.668039768742532
100,All living things are God creations and we must love them. Thank you to all the kind and loving people caring and taking care of these animals. I pray that God will bless them and all the animals.,SGD,5000,196.0,38.0,"['all', 'living', 'things', 'are', 'god', 'creations', 'and', 'we', 'must', 'love', 'them', 'thank', 'you', 'to', 'all', 'the', 'kind', 'and', 'loving', 'people', 'caring', 'and', 'taking', 'care', 'of', 'these', 'animals', 'i', 'pray', 'that', 'god', 'will', 'bless', 'them', 'and', 'all', 'the', 'animals']","['all', 'living', 'thing', 'are', 'god', 'creation', 'and', 'we', 'must', 'love', 'them', 'thank', 'you', 'to', 'all', 'the', 'kind', 'and', 'loving', 'people', 'caring', 'and', 'taking', 'care', 'of', 'these', 'animal', 'i', 'pray', 'that', 'god', 'will', 'bless', 'them', 'and', 'all', 'the', 'animal']","['all', 'live', 'thing', 'are', 'god', 'creation', 'and', 'we', 'must', 'love', 'them', 'thank', 'you', 'to', 'all', 'the', 'kind', 'and', 'love', 'peopl', 'care', 'and', 'take', 'care', 'of', 'these', 'anim', 'i', 'pray', 'that', 'god', 'will', 'bless', 'them', 'and', 'all', 'the', 'anim']",all living thing are god creation and we must love them thank you to all the kind and loving people caring and taking care of these animal i pray that god will bless them and all the animal,all live thing are god creation and we must love them thank you to all the kind and love peopl care and take care of these anim i pray that god will bless them and all the anim,0,-0.08497366186656378,0.021094038693186934,2,-0.34623374408813723,1.1191503001181322,-1,-0.34623374408813723,1.1191503001181322
102,"We want to help other children because God blessed us with many things: a happy home, a school, talent, and amazing people who love us. We want to love others by blessing others with what we do - painting.  Bless you, *hearts*",SGD,20000,226.0,43.0,"['we', 'want', 'to', 'help', 'other', 'children', 'because', 'god', 'blessed', 'us', 'with', 'many', 'things', 'a', 'happy', 'home', 'a', 'school', 'talent', 'and', 'amazing', 'people', 'who', 'love', 'us', 'we', 'want', 'to', 'love', 'others', 'by', 'blessing', 'others', 'with', 'what', 'we', 'do', 'painting', 'bless', 'you', 'hearts']","['we', 'want', 'to', 'help', 'other', 'child', 'because', 'god', 'blessed', 'u', 'with', 'many', 'thing', 'a', 'happy', 'home', 'a', 'school', 'talent', 'and', 'amazing', 'people', 'who', 'love', 'u', 'we', 'want', 'to', 'love', 'others', 'by', 'blessing', 'others', 'with', 'what', 'we', 'do', 'painting', 'bless', 'you', 'heart']","['we', 'want', 'to', 'help', 'other', 'children', 'becaus', 'god', 'bless', 'us', 'with', 'mani', 'thing', 'a', 'happi', 'home', 'a', 'school', 'talent', 'and', 'amaz', 'peopl', 'who', 'love', 'us', 'we', 'want', 'to', 'love', 'other', 'by', 'bless', 'other', 'with', 'what', 'we', 'do', 'paint', 'bless', 'you', 'heart']",we want to help other child because god blessed u with many thing a happy home a school talent and amazing people who love u we want to love others by blessing others with what we do painting bless you heart,we want to help other children becaus god bless us with mani thing a happi home a school talent and amaz peopl who love us we want to love other by bless other with what we do paint bless you heart,0,-0.13785181910194103,-0.12425589575710387,2,-0.5595249145925467,0.42003742470390326,-1,-0.5595249145925467,0.42003742470390326
